,Seq,Dur,RunTime,Mean,Sum,Min,Max,Proto,sTos,sDSb,sTtl,sHops,Cause,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Offset,sMeanPktSz,dMeanPktSz,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,Rate,SrcRate,DstRate,State,TcpRtt,SynAck,AckDat,Label,Attack Type,Attack Tool
10,2476,0.024,0.024,0.024,0.024,0.024,0.024,tcp,0.0,cs0,63.0,1.0,Start,3,2,1,166,108,58,425488,54.0,58.0,18000.0,18000.0,0.0,0,0,0,0.0,83.333336,41.666668,0.0,RST,0.002237,0.002237,0.0,Malicious,SYNFlood,Hping3
11,747,0.032691,0.032691,0.032691,0.032691,0.032691,0.032691,tcp,0.0,cs0,63.0,1.0,Start,7,4,3,666,460,206,252220,115.0,68.666664,118197.6719,84426.91406,33770.76563,0,0,0,0.0,183.536758,91.768379,61.178921,CON,0.015,0.002286,0.012714,Malicious,SlowrateDoS,Slowloris
12,2127,0.020906,0.020906,0.020906,0.020906,0.020906,0.020906,tcp,0.0,cs0,63.0,1.0,Start,3,2,1,166,108,58,355092,54.0,58.0,20663.92383,20663.92383,0.0,0,0,0,0.0,95.666321,47.83316,0.0,RST,0.007568,0.007568,0.0,Malicious,SYNFlood,Hping3
13,2508,4.548607,4.548607,4.548607,4.548607,4.548607,4.548607,udp,0.0,cs0,63.0,1.0,Start,3,3,0,126,126,0,442464,42.0,0.0,147.737549,147.737549,0.0,0,0,0,0.0,0.439695,0.439695,0.0,INT,0.0,0.0,0.0,Malicious,UDPFlood,Hping3
14,559,4.740546,4.740546,4.740546,4.740546,4.740546,4.740546,tcp,0.0,cs0,63.0,1.0,Status,11,5,6,1737,377,1360,189480,75.400002,226.666672,2423.349365,509.645905,1913.703491,2,0,2,15.384615,2.109462,0.843785,1.054731,RST,0.013973,0.001581,0.012392,Malicious,SlowrateDoS,Slowloris
15,60,1.055136,1.055136,1.055136,1.055136,1.055136,1.055136,tcp,0.0,cs0,63.0,1.0,Start,2,2,0,148,148,0,8844,74.0,0.0,561.065125,561.065125,0.0,1,1,0,33.333333,0.947745,0.947745,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
16,785,0.03663,0.03663,0.03663,0.03663,0.03663,0.03663,tcp,0.0,cs0,63.0,1.0,Start,7,4,3,666,460,206,260024,115.0,68.666664,105487.3047,75348.07031,30139.22852,0,0,0,0.0,163.800156,81.900078,54.600052,CON,0.013903,0.00183,0.012073,Malicious,SlowrateDoS,Slowloris
17,892,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,40.0,24.0,Start,1,1,0,58,58,0,88072,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
18,2839,4.541662,4.541662,4.541662,4.541662,4.541662,4.541662,udp,0.0,cs0,63.0,1.0,Start,3,3,0,126,126,0,471832,42.0,0.0,147.963455,147.963455,0.0,0,0,0,0.0,0.440367,0.440367,0.0,INT,0.0,0.0,0.0,Malicious,UDPFlood,Hping3
19,1282,0.091806,0.091806,0.091806,0.091806,0.091806,0.091806,tcp,0.0,cs0,63.0,1.0,Start,18,7,11,12986,1023,11963,243612,146.142853,1087.54541,1024159.625,76422.01563,947737.625,0,0,0,0.0,185.17308,65.355202,108.925339,CON,0.028748,0.001933,0.026815,Malicious,HTTPFlood,Goldeneye
20,965,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,52.0,12.0,Start,1,1,0,58,58,0,95080,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
21,975,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,97996,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
22,533,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,cs0,48.0,16.0,Start,1,1,0,42,42,0,46900,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,INT,0.0,0.0,0.0,Malicious,UDPScan,Nmap
23,1047,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,105120,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
24,630,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,64776,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
25,483,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,cs0,47.0,17.0,Start,1,1,0,42,42,0,42876,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,INT,0.0,0.0,0.0,Malicious,UDPScan,Nmap
26,2613,4.541084,4.541084,4.541084,4.541084,4.541084,4.541084,udp,0.0,cs0,63.0,1.0,Start,3,3,0,126,126,0,451688,42.0,0.0,147.9823,147.9823,0.0,0,0,0,0.0,0.440423,0.440423,0.0,INT,0.0,0.0,0.0,Malicious,UDPFlood,Hping3
27,2391,0.016881,0.016881,0.016881,0.016881,0.016881,0.016881,tcp,0.0,cs0,63.0,1.0,Start,3,2,1,166,108,58,408704,54.0,58.0,25590.90039,25590.90039,0.0,0,0,0,0.0,118.476395,59.238197,0.0,RST,0.002204,0.002204,0.0,Malicious,SYNFlood,Hping3
28,1006,4.994389,4.994389,4.994389,4.994389,4.994389,4.994389,tcp,0.0,cs0,63.0,1.0,Start,11,5,6,4734,853,3881,185208,170.600006,646.833313,6275.842773,1094.02771,5181.814941,0,0,0,0.0,2.002247,0.800899,1.001123,FIN,0.036075,0.002038,0.034037,Malicious,HTTPFlood,Goldeneye
29,2131,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,cs0,58.0,6.0,Start,1,1,0,98,98,0,217068,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
30,810,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,82056,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
31,2569,4.548523,4.548523,4.548523,4.548523,4.548523,4.548523,udp,0.0,cs0,63.0,1.0,Start,3,3,0,126,126,0,447824,42.0,0.0,147.740265,147.740265,0.0,0,0,0,0.0,0.439703,0.439703,0.0,INT,0.0,0.0,0.0,Malicious,UDPFlood,Hping3
32,629,3.99079,3.99079,3.99079,3.99079,3.99079,3.99079,tcp,0.0,cs0,63.0,1.0,Status,6,3,3,899,219,680,203896,73.0,226.666672,1202.769409,292.673889,910.09552,0,0,0,0.0,1.252885,0.501154,0.501154,FIN,0.016982,0.001621,0.015361,Malicious,SlowrateDoS,Slowloris
33,594,2.046109,2.046109,2.046109,2.046109,2.046109,2.046109,tcp,0.0,cs0,63.0,1.0,Start,9,5,4,810,538,272,159524,107.599998,68.0,2482.76123,1685.14978,797.611511,0,0,0,0.0,3.90986,1.95493,1.466198,CON,0.019008,0.001552,0.017456,Malicious,SlowrateDoS,Slowloris
34,159,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,37.0,27.0,Start,1,1,0,58,58,0,17484,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
35,2727,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,54,54,0,463892,54.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNFlood,Hping3
36,42,0.001653,0.001653,0.001653,0.001653,0.001653,0.001653,udp,0.0,cs0,64.0,0.0,Start,2,1,1,220,85,135,5800,85.0,135.0,0.0,0.0,0.0,0,0,0,0.0,604.960693,0.0,0.0,CON,0.0,0.0,0.0,Benign,Benign,Benign
37,818,0.032531,0.032531,0.032531,0.032531,0.032531,0.032531,tcp,0.0,cs0,63.0,1.0,Start,7,4,3,667,461,206,266796,115.25,68.666664,119024.9297,85088.07031,33936.85938,0,0,0,0.0,184.439453,92.219727,61.479816,CON,0.014069,0.001352,0.012717,Malicious,SlowrateDoS,Slowloris
38,996,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,cs0,36.0,28.0,Start,1,1,0,42,42,0,84908,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,INT,0.0,0.0,0.0,Malicious,UDPScan,Nmap
39,512,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,53448,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
40,1343,4.963588,4.963588,4.963588,4.963588,4.963588,4.963588,tcp,0.0,cs0,63.0,1.0,Start,19,7,12,12851,822,12029,256436,117.428574,1002.416687,18908.90039,1136.27478,17772.62695,0,0,0,0.0,3.626409,1.208803,2.216139,FIN,0.026045,0.001421,0.024624,Malicious,HTTPFlood,Goldeneye
41,290,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,47.0,17.0,Start,1,1,0,58,58,0,30060,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
42,21,0.092896,0.092896,0.092896,0.092896,0.092896,0.092896,udp,0.0,cs0,64.0,0.0,Status,8,5,3,4655,3185,1470,845164,637.0,490.0,303823.625,219428.1719,84395.45313,0,0,0,0.0,75.353081,43.058907,21.529453,CON,0.0,0.0,0.0,Benign,Benign,Benign
43,2097,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,cs0,58.0,6.0,Start,1,1,0,98,98,0,209736,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
44,804,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,cs0,40.0,24.0,Start,1,1,0,42,42,0,69488,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,INT,0.0,0.0,0.0,Malicious,UDPScan,Nmap
45,717,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,73128,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
46,1405,3.251843,3.251843,3.251843,3.251843,3.251843,3.251843,tcp,0.0,cs0,63.0,1.0,Start,19,8,11,12860,897,11963,269580,112.125,1087.54541,28687.73242,1931.212524,26756.51953,0,0,0,0.0,5.535323,2.152626,3.075179,CON,0.015756,0.001524,0.014232,Malicious,HTTPFlood,Goldeneye
47,6,4.940585,4.940585,4.940585,4.940585,4.940585,4.940585,udp,0.0,cs0,117.0,11.0,Status,123,108,15,150062,144554,5508,440144,1338.463013,367.200012,240225.7969,231901.2813,8324.520508,0,0,0,0.0,24.693432,21.657354,2.833673,CON,0.0,0.0,0.0,Benign,Benign,Benign
48,228,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,36.0,28.0,Start,1,1,0,58,58,0,24108,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
49,2053,0.063955,0.063955,0.063955,0.063955,0.063955,0.063955,udp,0.0,cs0,64.0,0.0,Status,4,2,2,437,299,138,422440,149.5,69.0,27394.26172,18763.19336,8631.068359,0,0,0,0.0,46.907982,15.635994,15.635994,CON,0.0,0.0,0.0,Benign,Benign,Benign
50,2936,4.540989,4.540989,4.540989,4.540989,4.540989,4.540989,udp,0.0,cs0,63.0,1.0,Start,3,3,0,126,126,0,480336,42.0,0.0,147.985382,147.985382,0.0,0,0,0,0.0,0.440433,0.440433,0.0,INT,0.0,0.0,0.0,Malicious,UDPFlood,Hping3
51,722,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,cs0,43.0,21.0,Start,1,1,0,42,42,0,62260,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,INT,0.0,0.0,0.0,Malicious,UDPScan,Nmap
52,28,0.099049,0.099049,0.099049,0.099049,0.099049,0.099049,udp,0.0,cs0,64.0,0.0,Start,6,3,3,746,546,200,3904,182.0,66.666664,40222.51563,29399.58984,10822.92578,0,0,0,0.0,50.480064,20.192026,20.192026,CON,0.0,0.0,0.0,Benign,Benign,Benign
53,29,0.062436,0.062436,0.062436,0.062436,0.062436,0.062436,udp,0.0,cs0,64.0,0.0,Status,6,3,3,730,530,200,433828,176.666672,66.666664,62528.02734,45358.44922,17169.58203,0,0,0,0.0,80.082008,32.032803,32.032803,CON,0.0,0.0,0.0,Benign,Benign,Benign
54,1595,3.270689,3.270689,3.270689,3.270689,3.270689,3.270689,tcp,0.0,cs0,63.0,1.0,Start,19,8,11,12918,955,11963,309656,119.375,1087.54541,28647.17578,2044.829102,26602.3457,0,0,0,0.0,5.503428,2.140222,3.05746,CON,0.021881,0.001925,0.019956,Malicious,HTTPFlood,Goldeneye
55,330,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,cs0,57.0,7.0,Start,1,1,0,42,42,0,30268,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,INT,0.0,0.0,0.0,Malicious,UDPScan,Nmap
56,2820,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,54,54,0,477236,54.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNFlood,Hping3
57,1085,0.07199,0.07199,0.07199,0.07199,0.07199,0.07199,tcp,0.0,cs0,63.0,1.0,Start,20,9,11,12943,980,11963,201944,108.888885,1087.54541,1305514.625,96902.35156,1208612.375,0,0,0,0.0,263.925537,111.126549,138.908188,CON,0.02117,0.001717,0.019453,Malicious,HTTPFlood,Goldeneye
58,6,4.997215,4.997215,4.997215,4.997215,4.997215,4.997215,udp,0.0,cs0,117.0,11.0,Status,152,128,24,175327,167345,7982,875704,1307.382812,332.583344,278055.6875,265808.875,12246.82227,0,0,0,0.0,30.216831,25.414156,4.602564,CON,0.0,0.0,0.0,Benign,Benign,Benign
59,886,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,89452,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
60,552,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,46.0,18.0,Start,1,1,0,58,58,0,55220,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
61,356,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,38352,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
62,2775,4.541146,4.541146,4.541146,4.541146,4.541146,4.541146,udp,0.0,cs0,63.0,1.0,Start,3,3,0,126,126,0,466240,42.0,0.0,147.98027,147.98027,0.0,0,0,0,0.0,0.440417,0.440417,0.0,INT,0.0,0.0,0.0,Malicious,UDPFlood,Hping3
63,2390,0.017884,0.017884,0.017884,0.017884,0.017884,0.017884,tcp,0.0,cs0,63.0,1.0,Start,3,2,1,166,108,58,408496,54.0,58.0,24155.66992,24155.66992,0.0,0,0,0,0.0,111.83181,55.915905,0.0,RST,0.00241,0.00241,0.0,Malicious,SYNFlood,Hping3
64,2461,0.017054,0.017054,0.017054,0.017054,0.017054,0.017054,tcp,0.0,cs0,63.0,1.0,Start,3,2,1,166,108,58,422876,54.0,58.0,25331.29883,25331.29883,0.0,0,0,0,0.0,117.274536,58.637268,0.0,RST,0.002358,0.002358,0.0,Malicious,SYNFlood,Hping3
65,889,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,cs0,39.0,25.0,Start,1,1,0,42,42,0,76288,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,INT,0.0,0.0,0.0,Malicious,UDPScan,Nmap
66,856,0.05324,0.05324,0.05324,0.05324,0.05324,0.05324,tcp,0.0,cs0,63.0,1.0,Start,19,8,11,12774,811,11963,153504,101.375,1087.54541,1740946.625,106686.7031,1634259.875,0,0,0,0.0,338.091644,131.480087,187.82869,CON,0.017088,0.001766,0.015322,Malicious,HTTPFlood,Goldeneye
67,1054,4.953701,4.953701,4.953701,4.953701,4.953701,4.953701,tcp,0.0,cs0,63.0,1.0,Start,19,7,12,12914,885,12029,195372,126.428574,1002.416687,19033.84961,1225.750244,17808.09961,0,0,0,0.0,3.633647,1.211216,2.220562,FIN,0.044124,0.002699,0.041425,Malicious,HTTPFlood,Goldeneye
68,1141,0.079009,0.079009,0.079009,0.079009,0.079009,0.079009,tcp,0.0,cs0,63.0,1.0,Start,10,5,5,4522,707,3815,213816,141.399994,763.0,366338.0313,57309.92969,309028.0938,0,0,0,0.0,113.911079,50.627148,50.627148,CON,0.037025,0.001727,0.035298,Malicious,HTTPFlood,Goldeneye
69,2684,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,54,54,0,458336,54.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNFlood,Hping3
70,844,0.030928,0.030928,0.030928,0.030928,0.030928,0.030928,tcp,0.0,cs0,63.0,1.0,Start,7,4,3,666,460,206,272308,115.0,68.666664,124935.3281,89239.52344,35695.80859,0,0,0,0.0,193.998962,96.999481,64.666321,CON,0.014013,0.001391,0.012622,Malicious,SlowrateDoS,Slowloris
71,1089,4.998068,4.998068,4.998068,4.998068,4.998068,4.998068,tcp,0.0,cs0,63.0,1.0,Start,11,5,6,4672,791,3881,202792,158.199997,646.833313,6191.192383,1013.191528,5178.000977,0,0,0,0.0,2.000773,0.800309,1.000387,FIN,0.025104,0.001143,0.023961,Malicious,HTTPFlood,Goldeneye
72,77,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,47.0,17.0,Start,1,1,0,58,58,0,9500,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
73,2403,0.016807,0.016807,0.016807,0.016807,0.016807,0.016807,tcp,0.0,cs0,63.0,1.0,Start,3,2,1,166,108,58,411088,54.0,58.0,25703.57617,25703.57617,0.0,0,0,0,0.0,118.998039,59.49902,0.0,RST,0.001474,0.001474,0.0,Malicious,SYNFlood,Hping3
74,719,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,51.0,13.0,Start,1,1,0,58,58,0,71364,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
75,2052,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,cs0,58.0,6.0,Start,1,1,0,98,98,0,199984,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
76,6,4.998954,4.998954,4.998954,4.998954,4.998954,4.998954,udp,0.0,cs0,117.0,11.0,Status,205,193,12,258224,253584,4640,845996,1313.906738,386.666656,410525.9063,403718.0625,6807.824219,0,0,0,0.0,40.80854,38.408035,2.20046,CON,0.0,0.0,0.0,Benign,Benign,Benign
77,216,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,24496,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
78,8,0.053056,0.053056,0.053056,0.053056,0.053056,0.053056,udp,0.0,cs0,64.0,0.0,Status,5,3,2,686,548,138,849480,182.666672,69.0,65591.07031,55186.96875,10404.10059,0,0,0,0.0,75.392036,37.696018,18.848009,CON,0.0,0.0,0.0,Benign,Benign,Benign
79,1355,4.988728,4.988728,4.988728,4.988728,4.988728,4.988728,tcp,0.0,cs0,63.0,1.0,Start,10,4,6,4749,868,3881,258980,217.0,646.833313,6231.648926,1043.953491,5187.695312,0,0,0,0.0,1.804067,0.601356,1.002259,FIN,0.022963,0.001559,0.021404,Malicious,HTTPFlood,Goldeneye
80,922,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,38.0,26.0,Start,1,1,0,58,58,0,90952,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
81,886,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,cs0,49.0,15.0,Start,1,1,0,42,42,0,76048,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,INT,0.0,0.0,0.0,Malicious,UDPScan,Nmap
82,2749,4.543305,4.543305,4.543305,4.543305,4.543305,4.543305,udp,0.0,cs0,63.0,1.0,Start,3,3,0,126,126,0,463952,42.0,0.0,147.909943,147.909943,0.0,0,0,0,0.0,0.440208,0.440208,0.0,INT,0.0,0.0,0.0,Malicious,UDPFlood,Hping3
83,492,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,51528,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
84,1815,3.279912,3.279912,3.279912,3.279912,3.279912,3.279912,tcp,0.0,cs0,63.0,1.0,Start,19,8,11,12850,887,11963,356200,110.875,1087.54541,28422.71289,1895.172852,26527.54102,0,0,0,0.0,5.487952,2.134204,3.048862,CON,0.019701,0.002023,0.017678,Malicious,HTTPFlood,Goldeneye
85,2236,4.544837,4.544837,4.544837,4.544837,4.544837,4.544837,udp,0.0,cs0,63.0,1.0,Start,3,3,0,126,126,0,418456,42.0,0.0,147.860092,147.860092,0.0,0,0,0,0.0,0.44006,0.44006,0.0,INT,0.0,0.0,0.0,Malicious,UDPFlood,Hping3
86,100,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,58.0,6.0,Start,1,1,0,58,58,0,11820,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
87,8358,0.0,0.0,0.0,0.0,0.0,0.0,icmp,0.0,cs0,58.0,6.0,Start,1,1,0,98,98,0,846300,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,ECO,0.0,0.0,0.0,Benign,Benign,Benign
88,262,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,43.0,21.0,Start,1,1,0,58,58,0,27372,58.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,SYNScan,Nmap
89,271,0.0,0.0,0.0,0.0,0.0,0.0,tcp,0.0,cs0,63.0,1.0,Start,1,1,0,74,74,0,29776,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,REQ,0.0,0.0,0.0,Malicious,TCPConnectScan,Nmap
