,Seq,Dur,RunTime,Mean,Sum,Min,Max,sTos,sTtl,sHops,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Offset,sMeanPktSz,dMeanPktSz,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,Rate,SrcRate,DstRate,TcpRtt,SynAck,AckDat
TotPkts,-0.178908067361804,0.8901306846898916,0.8901306846898916,0.8901306846898916,0.8901306846898916,0.8901306846898916,0.8901306846898916,0.0462635414554429,0.00993132258872191,-0.32041195537533973,1.0,0.9282247619581242,0.5853373600794186,0.9054538463727632,0.876270320625557,0.5836901402211075,-0.127031182763987,0.28403090430847916,0.5757325548606412,0.9319159747577778,0.9228224215423328,0.6342815989862909,0.11799669487744884,0.04152050882417083,0.13339299774535895,0.11690317907138185,0.9377747719953881,0.9209058129882011,0.6339295467419588,0.38658251349644,0.40201491708073084,0.36917792452253045
SrcPkts,-0.08344244423280249,0.9156212362053755,0.9156212362053755,0.9156212362053755,0.9156212362053755,0.9156212362053755,0.9156212362053755,-0.0136059368410621,0.01988327591137917,-0.28538123513545555,0.9282247619581242,1.0,0.36426360913465194,0.7888595262977064,0.8948385439530994,0.3609635705046405,-0.06311028014395086,0.24011328440440544,0.3465926518308614,0.9519220221584574,0.9603606316852842,0.5996389006608839,0.12389413649039425,0.0515950097946348,0.13064097595672586,0.12284509049249012,0.9089145239491314,0.9595517583994048,0.5991759076921567,0.16408590445259358,0.18400584030024333,0.15282163683007632
DstPkts,-0.4544977082890338,0.31171207009953883,0.31171207009953883,0.31171207009953883,0.31171207009953883,0.31171207009953883,0.31171207009953883,0.08484857492467464,0.08328340058987099,-0.16766824259946733,0.5853373600794186,0.36426360913465194,1.0,0.6251709780390895,0.41988775840253995,0.9991868800265904,-0.3092720198146274,0.5002644166688001,0.9965083494019712,0.4548461729943485,0.4364914022016455,0.817414699521122,0.12028382871852038,0.011202121332137636,0.17280950912352386,0.11922270990095239,0.5042469826535763,0.43069930882107016,0.8168263337040158,0.8127478628844059,0.8186779724750971,0.7955104505470998
TotBytes,-0.3357900147555144,0.7623799663411589,0.7623799663411589,0.7623799663411589,0.7623799663411589,0.7623799663411589,0.7623799663411589,0.09313690898022069,0.08572592343238693,-0.09129748270592623,0.9054538463727632,0.7888595262977064,0.6251709780390895,1.0,0.9253399984506285,0.6251856285381627,-0.29018173389085483,0.5291093330703105,0.6214322280489248,0.8057905701773367,0.7957862869978869,0.5983625289469745,0.13349478129190862,0.06672479424192115,0.12766727942705525,0.1327258076804712,0.8299934024966465,0.7916347478910296,0.5976385811760238,0.45520224567082945,0.46475410921600724,0.43986198419972256
SrcBytes,-0.25709920737332387,0.820078880255842,0.820078880255842,0.820078880255842,0.820078880255842,0.820078880255842,0.820078880255842,0.08121512080361466,0.10058182083996575,-0.05494084326282087,0.876270320625557,0.8948385439530994,0.41988775840253995,0.9253399984506285,1.0,0.4193539083226834,-0.2450196949286009,0.526486662532153,0.41060261176632273,0.8620531045910155,0.8661413277618066,0.5820880237699868,0.13738699152703068,0.0761364598583192,0.12267843175831876,0.13666949842338866,0.8573850328274771,0.8624215769515522,0.5818123709619807,0.21614305913908144,0.23489836421091434,0.1990463560718579
DstBytes,-0.45172909320119253,0.30971824083113214,0.30971824083113214,0.30971824083113214,0.30971824083113214,0.30971824083113214,0.30971824083113214,0.09032056612083952,0.08001298276813966,-0.16963835052716045,0.5836901402211075,0.3609635705046405,0.9991868800265904,0.6251856285381627,0.4193539083226834,1.0,-0.3073657422626113,0.5011712136217304,0.9985522066237784,0.4516260387971154,0.43255981216461575,0.8173937558815951,0.12387851134543248,0.010918384718898957,0.1783827680261801,0.12280328333627223,0.5027890790710116,0.42660862358646934,0.8158393741881576,0.8144412135674881,0.8186315894652094,0.7997404823465538
Offset,0.8005327088531746,-0.04384537610809796,-0.04384537610809796,-0.04384537610809796,-0.04384537610809796,-0.04384537610809796,-0.04384537610809796,-0.06890553919339899,-0.11014569999698993,-0.3059033520634456,-0.127031182763987,-0.06311028014395086,-0.3092720198146274,-0.29018173389085483,-0.2450196949286009,-0.3073657422626113,1.0,-0.4851278235995046,-0.30462531787055,-0.07109107358852743,-0.06488031011129215,-0.26648085972819197,-0.04255992486715978,-0.03908435752577515,-0.021860957951063593,-0.04255738163426271,-0.10247441449022054,-0.061898870108988244,-0.26853535507032256,-0.2323853830595357,-0.24516202920063193,-0.21763253790366882
sMeanPktSz,-0.5211939200293421,0.08248901348027297,0.08248901348027297,0.08248901348027297,0.08248901348027297,0.08248901348027297,0.08248901348027297,0.11513106873209873,0.37294837954227705,0.3511244024418201,0.28403090430847916,0.24011328440440544,0.5002644166688001,0.5291093330703105,0.526486662532153,0.5011712136217304,-0.4851278235995046,1.0,0.4970649554425997,0.20877179757511238,0.19929992153015905,0.5933638098910988,0.17565774206211995,0.12720457686418407,0.12199578554796262,0.17550546291537336,0.24262647367202292,0.18927601792222362,0.5934329832822905,0.334994245888356,0.3416681180487071,0.3276491724802392
dMeanPktSz,-0.4480140789328142,0.297067532414655,0.297067532414655,0.297067532414655,0.297067532414655,0.297067532414655,0.297067532414655,0.10033798531234027,0.07908104972650058,-0.16980130431252988,0.5757325548606412,0.3465926518308614,0.9965083494019712,0.6214322280489248,0.41060261176632273,0.9985522066237784,-0.30462531787055,0.4970649554425997,1.0,0.43976525929812493,0.4210010913702009,0.8032328906834759,0.1248572692065209,0.013585756561766587,0.17665188571726312,0.12378582412840089,0.4956403049302768,0.4150633851398307,0.8011287812817143,0.8132783522752348,0.8152813788570829,0.7986562979335592
Load,-0.12037179455416183,0.8599061139019378,0.8599061139019378,0.8599061139019378,0.8599061139019378,0.8599061139019378,0.8599061139019378,-0.008369915968341435,0.026166185501746347,-0.31525507264380176,0.9319159747577778,0.9519220221584574,0.4548461729943485,0.8057905701773367,0.8620531045910155,0.4516260387971154,-0.07109107358852743,0.20877179757511238,0.43976525929812493,1.0,0.9904445250989052,0.6277821905398333,0.121112396957372,0.050417342434314144,0.12763730125437636,0.12010949817465907,0.9553077515542125,0.9882202766385288,0.6278370726617402,0.26272174203584087,0.2843672767735167,0.23895129939626672
SrcLoad,-0.11148025689355386,0.8558539716075569,0.8558539716075569,0.8558539716075569,0.8558539716075569,0.8558539716075569,0.8558539716075569,-0.006990388463986348,0.027946046514303186,-0.3133992868153895,0.9228224215423328,0.9603606316852842,0.4364914022016455,0.7957862869978869,0.8661413277618066,0.43255981216461575,-0.06488031011129215,0.19929992153015905,0.4210010913702009,0.9904445250989052,1.0,0.6036143470439245,0.12174720260306869,0.05553959305762743,0.12271572227499467,0.1207421753381472,0.9461259270834519,0.9979544033517431,0.6041404458471314,0.24398182519004263,0.2654617009779375,0.21926193707163188
DstLoad,-0.38638268774687295,0.45012561566556375,0.45012561566556375,0.45012561566556375,0.45012561566556375,0.45012561566556375,0.45012561566556375,0.02029534764956251,0.11984063165987507,-0.15253951710781816,0.6342815989862909,0.5996389006608839,0.817414699521122,0.5983625289469745,0.5820880237699868,0.8173937558815951,-0.26648085972819197,0.5933638098910988,0.8032328906834759,0.6277821905398333,0.6036143470439245,1.0,0.15760032308257388,0.029071854186650502,0.20913119331727872,0.15641211324452334,0.606478311818501,0.5967941026370281,0.9991619984345086,0.5679087907995335,0.5795971656684265,0.5761069397433196
Loss,-0.06424366831096194,0.089283017579396,0.089283017579396,0.089283017579396,0.089283017579396,0.089283017579396,0.089283017579396,0.04225843125956732,0.06672531121363894,-0.09828536686464732,0.11799669487744884,0.12389413649039425,0.12028382871852038,0.13349478129190862,0.13738699152703068,0.12387851134543248,-0.04255992486715978,0.17565774206211995,0.1248572692065209,0.121112396957372,0.12174720260306869,0.15760032308257388,1.0,0.7563198279715356,0.6565325916808062,0.9999543390076043,0.11186546059270494,0.11878857163127801,0.15288601100964314,0.11984182239332572,0.11030480060632816,0.12282109922363262
SrcLoss,-0.057293831798032255,0.02761795554687759,0.02761795554687759,0.02761795554687759,0.02761795554687759,0.02761795554687759,0.02761795554687759,0.060171269744320154,0.09997851330638381,-0.10632952342503349,0.04152050882417083,0.0515950097946348,0.011202121332137636,0.06672479424192115,0.0761364598583192,0.010918384718898957,-0.03908435752577515,0.12720457686418407,0.013585756561766587,0.050417342434314144,0.05553959305762743,0.029071854186650502,0.7563198279715356,1.0,0.013023047975350501,0.7598425022199828,0.04424502899427066,0.05208618882748903,0.030379812612285468,0.019733075660490144,0.012595086167996613,0.02120924711907206
DstLoss,-0.033723581365941245,0.10507653150073043,0.10507653150073043,0.10507653150073043,0.10507653150073043,0.10507653150073043,0.10507653150073043,-0.005593990791799628,-0.01212639819608227,-0.029135793963443134,0.13339299774535895,0.13064097595672586,0.17280950912352386,0.12766727942705525,0.12267843175831876,0.1783827680261801,-0.021860957951063593,0.12199578554796262,0.17665188571726312,0.12763730125437636,0.12271572227499467,0.20913119331727872,0.6565325916808062,0.013023047975350501,1.0,0.6522624641821949,0.12076538695195414,0.12223135006672795,0.2006838471050062,0.16156965135425827,0.1552677268692029,0.1642116830333833
pLoss,-0.06430356399391739,0.08838029194993141,0.08838029194993141,0.08838029194993141,0.08838029194993141,0.08838029194993141,0.08838029194993141,0.04217194049214914,0.06736077345246126,-0.09876903903948472,0.11690317907138185,0.12284509049249012,0.11922270990095239,0.1327258076804712,0.13666949842338866,0.12280328333627223,-0.04255738163426271,0.17550546291537336,0.12378582412840089,0.12010949817465907,0.1207421753381472,0.15641211324452334,0.9999543390076043,0.7598425022199828,0.6522624641821949,1.0,0.110875608684167,0.11777244154331483,0.15172976744435596,0.11883421991164629,0.10934613666200863,0.12180344165677702
Rate,-0.15393632481773958,0.8454145053562262,0.8454145053562262,0.8454145053562262,0.8454145053562262,0.8454145053562262,0.8454145053562262,0.050601477399776766,0.011268620001980941,-0.3034160136418777,0.9377747719953881,0.9089145239491314,0.5042469826535763,0.8299934024966465,0.8573850328274771,0.5027890790710116,-0.10247441449022054,0.24262647367202292,0.4956403049302768,0.9553077515542125,0.9461259270834519,0.606478311818501,0.11186546059270494,0.04424502899427066,0.12076538695195414,0.110875608684167,1.0,0.9462558927269094,0.6072594664955073,0.2746847364521225,0.2969316829502107,0.24973097708421332
SrcRate,-0.10615179709751096,0.8515199726324105,0.8515199726324105,0.8515199726324105,0.8515199726324105,0.8515199726324105,0.8515199726324105,-0.011949369333462773,0.0197639090248899,-0.3207326670966816,0.9209058129882011,0.9595517583994048,0.43069930882107016,0.7916347478910296,0.8624215769515522,0.42660862358646934,-0.061898870108988244,0.18927601792222362,0.4150633851398307,0.9882202766385288,0.9979544033517431,0.5967941026370281,0.11878857163127801,0.05208618882748903,0.12223135006672795,0.11777244154331483,0.9462558927269094,1.0,0.5975922125181103,0.24139452836720407,0.26338375224387534,0.21569246368238273
DstRate,-0.3903859140467881,0.4469280512130657,0.4469280512130657,0.4469280512130657,0.4469280512130657,0.4469280512130657,0.4469280512130657,0.02121976238515617,0.12358424059675659,-0.15101500383750233,0.6339295467419588,0.5991759076921567,0.8168263337040158,0.5976385811760238,0.5818123709619807,0.8158393741881576,-0.26853535507032256,0.5934329832822905,0.8011287812817143,0.6278370726617402,0.6041404458471314,0.9991619984345086,0.15288601100964314,0.030379812612285468,0.2006838471050062,0.15172976744435596,0.6072594664955073,0.5975922125181103,1.0,0.5619200932165008,0.5747717201640671,0.5700482607797682
TcpRtt,-0.3469373348763938,0.1543327370989802,0.1543327370989802,0.1543327370989802,0.1543327370989802,0.1543327370989802,0.1543327370989802,-0.034822205536345824,-0.06692473675681991,-0.19482803107556992,0.38658251349644,0.16408590445259358,0.8127478628844059,0.45520224567082945,0.21614305913908144,0.8144412135674881,-0.2323853830595357,0.334994245888356,0.8132783522752348,0.26272174203584087,0.24398182519004263,0.5679087907995335,0.11984182239332572,0.019733075660490144,0.16156965135425827,0.11883421991164629,0.2746847364521225,0.24139452836720407,0.5619200932165008,1.0,0.9875544048300465,0.9847224351758883
SynAck,-0.35821283967013395,0.16870025001425784,0.16870025001425784,0.16870025001425784,0.16870025001425784,0.16870025001425784,0.16870025001425784,-0.034822205665835486,-0.06431854664018696,-0.19746312588049206,0.40201491708073084,0.18400584030024333,0.8186779724750971,0.46475410921600724,0.23489836421091434,0.8186315894652094,-0.24516202920063193,0.3416681180487071,0.8152813788570829,0.2843672767735167,0.2654617009779375,0.5795971656684265,0.11030480060632816,0.012595086167996613,0.1552677268692029,0.10934613666200863,0.2969316829502107,0.26338375224387534,0.5747717201640671,0.9875544048300465,1.0,0.9611354180892003
AckDat,-0.33836830802721807,0.1523166517221684,0.1523166517221684,0.1523166517221684,0.1523166517221684,0.1523166517221684,0.1523166517221684,-0.0340519247946604,-0.07648983043238665,-0.17933518558489964,0.36917792452253045,0.15282163683007632,0.7955104505470998,0.43986198419972256,0.1990463560718579,0.7997404823465538,-0.21763253790366882,0.3276491724802392,0.7986562979335592,0.23895129939626672,0.21926193707163188,0.5761069397433196,0.12282109922363262,0.02120924711907206,0.1642116830333833,0.12180344165677702,0.24973097708421332,0.21569246368238273,0.5700482607797682,0.9847224351758883,0.9611354180892003,1.0
